-64260, 35996, 4268982, 1, 0
-68940, 35996, 4269068, 1, 0
-68940, 35996, 4269154, 1, 0
-64620, 35996, 4269241, 1, 0
-60300, 35996, 4269327, 1, 0
-68760, 35996, 4269414, 1, 0
-63000, 35996, 4269500, 1, 0
-59400, 35996, 4269586, 1, 0
-68940, 35996, 4269673, 1, 0
-67860, 35996, 4269759, 1, 0
-67320, 35996, 4269845, 1, 0
-71100, 35996, 4269932, 1, 0
-72360, 35996, 4270018, 1, 0
-68580, 35996, 4270105, 1, 0
-66240, 35996, 4270191, 1, 0
-71820, 35996, 4270277, 1, 0
-71100, 35996, 4270364, 1, 0
-68400, 35996, 4270450, 1, 0
-66780, 35996, 4270536, 1, 0
-70920, 35996, 4270623, 1, 0
-68220, 35996, 4270709, 1, 0
-74700, 35996, 4270795, 1, 0
-67320, 35996, 4270882, 1, 0
-67680, 35996, 4270968, 1, 0
-71280, 35996, 4271054, 1, 0
-70200, 35996, 4271141, 1, 0
-76140, 35996, 4271227, 1, 0
-70560, 35996, 4271314, 1, 0
-72540, 35996, 4271400, 1, 0
-76680, 35996, 4271486, 1, 0
-66960, 35996, 4271573, 1, 0
-73440, 35996, 4271659, 1, 0
-72900, 35996, 4271745, 1, 0
-60660, 35996, 4271832, 1, 0
-69480, 35996, 4271918, 1, 0
-62820, 35996, 4272005, 1, 0
-64080, 35996, 4272091, 1, 0
-71460, 35996, 4272177, 1, 0
-63180, 35996, 4272264, 1, 0
-67500, 35996, 4272350, 1, 0
-66600, 35996, 4272437, 1, 0
-71100, 35996, 4272523, 1, 0
-71280, 35996, 4272609, 1, 0
-66420, 35996, 4272696, 1, 0
-68040, 35996, 4272782, 1, 0
-61920, 35996, 4272868, 1, 0
-56340, 35996, 4272955, 1, 0
-61380, 35996, 4273041, 1, 0
-57600, 35996, 4273128, 1, 0
-59940, 35996, 4273214, 1, 0
-72720, 35996, 4273300, 1, 0
-71640, 35996, 4273387, 1, 0
-70560, 35996, 4273473, 1, 0
-72180, 35996, 4273559, 1, 0
-73080, 35996, 4273646, 1, 0
-71460, 35996, 4273732, 1, 0
-66420, 35996, 4273818, 1, 0
-68040, 35996, 4273905, 1, 0
-74520, 35996, 4273991, 1, 0
-74520, 36019, 4274114, 0, 1
