Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),0.x (),0.y (),0.z (),1.x (),1.y (),1.z (),2.x (),2.y (),2.z (),3.x (),3.y (),3.z ()
3862,1711653692457,-176673.0,-63978.0,-130478.0,80466.0,-306239.0,78294.0,6726494.0,160824.0,-39048.0,-24741.0,832.0,1670.0
3863,1711653692477,-167338.0,-93193.0,-127480.0,73049.0,-318454.0,92315.0,6731054.0,165550.0,-35389.0,-25237.0,646.0,2725.0
3864,1711653692498,-173340.0,-111259.0,-116053.0,84830.0,-320027.0,90956.0,6762578.0,161780.0,-38840.0,-24496.0,698.0,1002.0
3865,1711653692518,-178799.0,-32146.0,-121624.0,82608.0,-305950.0,77689.0,6804502.0,163037.0,-37375.0,-26969.0,1316.0,1601.0
3866,1711653692537,-161618.0,-148241.0,-119833.0,83277.0,-298815.0,83135.0,6775247.0,164662.0,-43399.0,-25307.0,1822.0,2318.0
3867,1711653692557,-170339.0,-74703.0,-127279.0,84839.0,-309392.0,78368.0,6583142.0,163667.0,-37021.0,-25920.0,1269.0,1207.0
3868,1711653692578,-179209.0,-71240.0,-135143.0,76494.0,-326312.0,74923.0,6725974.0,163688.0,-38442.0,-25942.0,593.0,1148.0
3869,1711653692598,-162993.0,-127446.0,-138972.0,73158.0,-301639.0,86298.0,6797252.0,162801.0,-38883.0,-25346.0,1685.0,2383.0
3870,1711653692618,-165094.0,-87046.0,-144490.0,76121.0,-297645.0,86887.0,6814214.0,160039.0,-39091.0,-27444.0,1654.0,1964.0
3871,1711653692638,-172272.0,-103841.0,-144000.0,74743.0,-284747.0,84572.0,6447780.0,165107.0,-37092.0,-25333.0,1254.0,2203.0
3872,1711653692658,-163409.0,-131924.0,-136744.0,85941.0,-303349.0,77211.0,6696042.0,162844.0,-36798.0,-23760.0,1943.0,239.0
3873,1711653692677,-177742.0,-56160.0,-140596.0,91393.0,-324836.0,87395.0,6849294.0,163560.0,-40525.0,-23747.0,862.0,2362.0
3874,1711653692697,-169811.0,-35870.0,-139432.0,95180.0,-313225.0,78958.0,6774342.0,164874.0,-37549.0,-23236.0,1192.0,1030.0
3875,1711653692717,-175351.0,-126810.0,-121481.0,78744.0,-324723.0,91847.0,6781280.0,165541.0,-40984.0,-24390.0,1601.0,1912.0
3876,1711653692737,-163552.0,-51232.0,-133126.0,76947.0,-317424.0,94109.0,6737692.0,160253.0,-41816.0,-27282.0,1955.0,872.0
3877,1711653692758,-160153.0,-131971.0,-130931.0,70082.0,-309516.0,76286.0,6789873.0,160163.0,-39637.0,-26671.0,2362.0,1747.0
3878,1711653692777,-145151.0,-116500.0,-133967.0,77028.0,-301354.0,75991.0,6512398.0,164517.0,-36819.0,-23406.0,2064.0,1381.0
3879,1711653692797,-145939.0,-50397.0,-150316.0,85181.0,-327347.0,80479.0,6817180.0,164141.0,-42654.0,-23037.0,2195.0,1547.0
3880,1711653692817,-162661.0,-113288.0,-149099.0,75656.0,-314547.0,82303.0,6728788.0,160650.0,-39740.0,-23353.0,-34.0,1971.0
3881,1711653692837,-178892.0,-127468.0,-136400.0,86499.0,-310978.0,76990.0,6732762.0,160783.0,-37189.0,-25939.0,928.0,2489.0
3882,1711653692857,-164548.0,-127626.0,-128619.0,75144.0,-304876.0,86596.0,6470892.0,164411.0,-36273.0,-27540.0,655.0,1626.0
3883,1711653692877,-183659.0,-30572.0,-122763.0,89469.0,-312700.0,81003.0,6851840.0,166357.0,-35466.0,-27171.0,1415.0,1431.0
3884,1711653692897,-173405.0,-28096.0,-136359.0,91558.0,-306301.0,87393.0,6686223.0,162602.0,-37899.0,-27704.0,1033.0,1614.0
3885,1711653692917,-178175.0,-98965.0,-133519.0,77615.0,-290011.0,82118.0,6867364.0,163389.0,-37986.0,-22241.0,1860.0,2634.0
3886,1711653692937,-186042.0,-62680.0,-132893.0,69890.0,-292391.0,82294.0,6746105.0,162934.0,-37133.0,-26258.0,798.0,1800.0
3887,1711653692957,-138007.0,-75609.0,-130323.0,77816.0,-323292.0,78654.0,6716905.0,168194.0,-33967.0,-23729.0,1353.0,1558.0
3888,1711653692977,-155790.0,-130751.0,-134885.0,96489.0,-327367.0,80780.0,6749431.0,167937.0,-41211.0,-23254.0,2284.0,1781.0
3889,1711653692997,-154868.0,-132511.0,-140825.0,91719.0,-323264.0,81264.0,6762617.0,166506.0,-38421.0,-24536.0,1604.0,1552.0
3890,1711653693017,-171683.0,-104083.0,-133979.0,88212.0,-297769.0,81118.0,6813089.0,160153.0,-37285.0,-24964.0,1424.0,1859.0
3891,1711653693038,-175997.0,-104434.0,-139041.0,80134.0,-297021.0,78464.0,6771346.0,163878.0,-38762.0,-28878.0,2200.0,1660.0
3892,1711653693058,-177789.0,-105489.0,-138777.0,84272.0,-296500.0,87354.0,6835650.0,160854.0,-35871.0,-23403.0,426.0,1307.0
