Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),micros (),CZL635 (),Degraw (),TAL220 ()
161,1697377428787,2770053.0,662442.0,-700988.0,-950189.0
162,1697377428788,2771089.0,660524.0,-700864.0,-949945.0
163,1697377428789,2772124.0,663629.0,-689580.0,-948226.0
164,1697377428790,2773160.0,662911.0,-695945.0,-950091.0
165,1697377428790,2774195.0,666846.0,-700563.0,-951517.0
166,1697377428791,2775230.0,667943.0,-698904.0,-947878.0
167,1697377428792,2776266.0,663238.0,-698344.0,-945490.0
168,1697377428793,2777301.0,668747.0,-695492.0,-943799.0
169,1697377428794,2778336.0,668573.0,-697531.0,-939232.0
170,1697377428795,2779372.0,671622.0,-695669.0,-945372.0
171,1697377428796,2780407.0,667026.0,-697613.0,-942036.0
172,1697377428797,2781442.0,669782.0,-694106.0,-942646.0
173,1697377428799,2782478.0,672885.0,-692019.0,-942509.0
174,1697377428799,2783513.0,671436.0,-696432.0,-942039.0
175,1697377428801,2784549.0,666691.0,-701761.0,-940602.0
176,1697377428801,2785584.0,666967.0,-697793.0,-940008.0
177,1697377428803,2786619.0,667994.0,-698713.0,-944182.0
178,1697377428804,2787655.0,661365.0,-694066.0,-947023.0
179,1697377428805,2788690.0,661196.0,-702284.0,-947301.0
180,1697377428805,2789725.0,663083.0,-700386.0,-946283.0
181,1697377428807,2790761.0,661905.0,-696792.0,-947633.0
182,1697377428809,2791796.0,664765.0,-693757.0,-952282.0
183,1697377428809,2792831.0,665713.0,-697666.0,-952108.0
184,1697377428810,2793867.0,664830.0,-703159.0,-956720.0
185,1697377428811,2794902.0,663308.0,-695540.0,-948001.0
186,1697377428812,2795937.0,666264.0,-701275.0,-950763.0
187,1697377428813,2796973.0,669434.0,-697481.0,-945569.0
188,1697377428815,2798008.0,670770.0,-690804.0,-946311.0
189,1697377428815,2799044.0,668657.0,-693777.0,-945653.0
190,1697377428817,2800079.0,670404.0,-691721.0,-942947.0
191,1697377428818,2801114.0,664877.0,-692370.0,-944328.0
192,1697377428818,2802150.0,674091.0,-696097.0,-940503.0
193,1697377428819,2803185.0,663699.0,-694581.0,-944677.0
194,1697377428821,2804221.0,668716.0,-696285.0,-945642.0
195,1697377428821,2805256.0,668728.0,-694511.0,-942908.0
196,1697377428823,2806291.0,669926.0,-691625.0,-948716.0
197,1697377428824,2807327.0,664816.0,-700701.0,-951202.0
198,1697377428824,2808362.0,662048.0,-698294.0,-947723.0
199,1697377428826,2809397.0,664976.0,-696457.0,-946553.0
200,1697377428826,2810433.0,669858.0,-697436.0,-948910.0
201,1697377428829,2811468.0,663347.0,-698474.0,-953314.0
202,1697377428829,2812503.0,661201.0,-701204.0,-948907.0
203,1697377428831,2813539.0,661792.0,-701604.0,-947605.0
204,1697377428831,2814574.0,667009.0,-700375.0,-947174.0
205,1697377428833,2815609.0,665907.0,-703499.0,-947208.0
206,1697377428833,2816645.0,667046.0,-700681.0,-945223.0
207,1697377428834,2817680.0,673560.0,-695200.0,-945628.0
208,1697377428835,2818716.0,668871.0,-695388.0,-944072.0
209,1697377428836,2819751.0,668700.0,-696887.0,-945268.0
