Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),micros (),635 (),Degraw (),tal ()
233,1697378849070,8.3168077E8,638326.0,-733257.0,-964669.0
234,1697378849184,8.3179392E8,638553.0,-733273.0,-964830.0
235,1697378849296,8.3190707E8,638968.0,-733020.0,-964221.0
236,1697378849410,8.3202022E8,638160.0,-733783.0,-964303.0
237,1697378849523,8.3213344E8,638202.0,-733540.0,-964861.0
238,1697378849636,8.3224659E8,638807.0,-732998.0,-964649.0
239,1697378849749,8.3235974E8,638220.0,-733398.0,-964211.0
240,1697378849864,8.3247296E8,638133.0,-733411.0,-965061.0
241,1697378849975,8.3258611E8,638483.0,-733648.0,-964437.0
242,1697378850089,8.3269926E8,638553.0,-733018.0,-964534.0
243,1697378850203,8.3281248E8,638425.0,-733255.0,-965013.0
244,1697378850315,8.3292563E8,638724.0,-733070.0,-964812.0
245,1697378850428,8.3303878E8,638152.0,-733541.0,-964432.0
246,1697378850542,8.33152E8,638609.0,-733061.0,-964707.0
247,1697378850655,8.3326515E8,638595.0,-733525.0,-963871.0
248,1697378850768,8.333783E8,638050.0,-733361.0,-964703.0
249,1697378850882,8.3349152E8,638955.0,-733133.0,-964848.0
250,1697378850995,8.3360467E8,638684.0,-733468.0,-964539.0
251,1697378851107,8.3371782E8,637853.0,-733279.0,-964790.0
252,1697378851221,8.3383104E8,638579.0,-733158.0,-964641.0
253,1697378851334,8.3394419E8,638896.0,-733254.0,-964052.0
254,1697378851447,8.3405734E8,637972.0,-733079.0,-964880.0
255,1697378851560,8.3417056E8,638584.0,-733352.0,-965260.0
256,1697378851674,8.3428371E8,638495.0,-733335.0,-964181.0
257,1697378851787,8.3439686E8,638229.0,-732960.0,-964828.0
258,1697378851899,8.3451008E8,638514.0,-733518.0,-965025.0
259,1697378852013,8.3462323E8,638706.0,-733299.0,-964390.0
260,1697378852126,8.3473638E8,638308.0,-733534.0,-964754.0
261,1697378852239,8.3484954E8,638971.0,-733381.0,-965188.0
262,1697378852353,8.3496275E8,638353.0,-732817.0,-964668.0
263,1697378852467,8.350759E8,638209.0,-733512.0,-964888.0
264,1697378852579,8.3518906E8,638684.0,-733754.0,-964621.0
265,1697378852693,8.3530221E8,638450.0,-733365.0,-964631.0
266,1697378852806,8.3541542E8,638126.0,-732976.0,-964675.0
267,1697378852919,8.3552858E8,639094.0,-733439.0,-964755.0
268,1697378853032,8.3564173E8,638262.0,-733136.0,-963966.0
269,1697378853144,8.3575488E8,637941.0,-733524.0,-965370.0
270,1697378853258,8.3586803E8,638685.0,-732875.0,-964437.0
271,1697378853371,8.3598125E8,638229.0,-733439.0,-964405.0
272,1697378853485,8.360944E8,638011.0,-733602.0,-964858.0
273,1697378853597,8.3620755E8,638359.0,-733583.0,-965069.0
274,1697378853710,8.3632077E8,638175.0,-733075.0,-964332.0
275,1697378853824,8.3643392E8,638610.0,-733619.0,-964512.0
276,1697378853937,8.3654707E8,638505.0,-733238.0,-964350.0
277,1697378854051,8.3666029E8,638539.0,-733299.0,-964594.0
278,1697378854164,8.3677344E8,638315.0,-733752.0,-965284.0
279,1697378854277,8.3688666E8,638293.0,-733196.0,-964726.0
280,1697378854389,8.3699981E8,638892.0,-733611.0,-964275.0
281,1697378854502,8.3711302E8,638194.0,-733643.0,-965177.0
282,1697378854616,8.3722618E8,638691.0,-733117.0,-964299.0
283,1697378854730,8.3733939E8,637820.0,-733446.0,-964872.0
284,1697378854843,8.3745254E8,637939.0,-733544.0,-965061.0
285,1697378854956,8.375657E8,638609.0,-733384.0,-964684.0
286,1697378855069,8.3767891E8,638021.0,-733362.0,-964880.0
287,1697378855182,8.3779206E8,638670.0,-733455.0,-964784.0
288,1697378855295,8.3790528E8,638843.0,-733232.0,-964698.0
289,1697378855408,8.3801843E8,637512.0,-733715.0,-964892.0
290,1697378855521,8.3813158E8,638912.0,-733630.0,-965165.0
291,1697378855635,8.382448E8,638708.0,-733068.0,-964575.0
292,1697378855748,8.3835795E8,637990.0,-733463.0,-964793.0
293,1697378855861,8.384711E8,638323.0,-733655.0,-964804.0
294,1697378855974,8.3858432E8,638572.0,-732972.0,-964921.0
295,1697378856087,8.3869747E8,637964.0,-733354.0,-964528.0
296,1697378856200,8.3881062E8,638434.0,-732942.0,-965279.0
297,1697378856313,8.3892378E8,638963.0,-733251.0,-964219.0
298,1697378856427,8.3903699E8,638323.0,-733870.0,-964309.0
299,1697378856541,8.3915014E8,638143.0,-733448.0,-964712.0
300,1697378856653,8.392633E8,638597.0,-733228.0,-964217.0
301,1697378856766,8.3937645E8,637801.0,-733426.0,-964569.0
302,1697378856880,8.3948966E8,638641.0,-733823.0,-964788.0
303,1697378856993,8.3960282E8,638392.0,-732898.0,-964645.0
304,1697378857105,8.3971597E8,638449.0,-733652.0,-964778.0
305,1697378857219,8.3982912E8,637790.0,-733422.0,-965401.0
306,1697378857332,8.3994234E8,638729.0,-732787.0,-964519.0
307,1697378857445,8.4005549E8,638052.0,-733414.0,-964420.0
308,1697378857558,8.4016864E8,638298.0,-733416.0,-964813.0
309,1697378857672,8.4028179E8,638201.0,-733002.0,-964751.0
310,1697378857785,8.4039501E8,638295.0,-733358.0,-964836.0
311,1697378857898,8.4050816E8,638149.0,-733412.0,-965334.0
312,1697378858011,8.4062131E8,638437.0,-733227.0,-964262.0
313,1697378858125,8.4073446E8,637576.0,-733318.0,-964508.0
314,1697378858238,8.4084768E8,638427.0,-732971.0,-964971.0
315,1697378858350,8.4096083E8,639015.0,-733487.0,-964096.0
316,1697378858463,8.4107398E8,638090.0,-733417.0,-964878.0
317,1697378858577,8.4118714E8,638648.0,-733461.0,-964613.0
318,1697378858690,8.4130035E8,638675.0,-733154.0,-964069.0
319,1697378858803,8.414135E8,637586.0,-733359.0,-964668.0
320,1697378858916,8.4152666E8,638761.0,-733403.0,-964747.0
321,1697378859029,8.4163981E8,638650.0,-733229.0,-964545.0
322,1697378859143,8.4175302E8,637938.0,-733242.0,-964795.0
323,1697378859256,8.4186618E8,637862.0,-733497.0,-965355.0
324,1697378859370,8.4197933E8,638311.0,-733435.0,-964675.0
325,1697378859482,8.4209248E8,638001.0,-733515.0,-964919.0
326,1697378859595,8.422057E8,638705.0,-733438.0,-964785.0
327,1697378859709,8.4231885E8,638476.0,-733504.0,-964362.0
328,1697378859822,8.42432E8,637832.0,-733653.0,-964781.0
329,1697378859934,8.4254515E8,638530.0,-733327.0,-965069.0
330,1697378860049,8.4265837E8,638007.0,-733544.0,-964278.0
331,1697378860161,8.4277152E8,638227.0,-733674.0,-964873.0
332,1697378860275,8.4288467E8,638666.0,-733649.0,-964614.0
333,1697378860387,8.4299789E8,638482.0,-733086.0,-964238.0
334,1697378860502,8.4311104E8,637841.0,-733396.0,-965422.0
335,1697378860614,8.4322419E8,638460.0,-733156.0,-964878.0
336,1697378860727,8.4333734E8,638601.0,-732984.0,-964857.0
