Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),time (),reading ()
179,1702727351465,1.33925544E8,151.7958
180,1702727351465,1.33925888E8,151.28166
181,1702727351465,1.3392624E8,151.40387
182,1702727351466,1.33926584E8,151.31032
183,1702727351466,1.33926928E8,150.02345
184,1702727351466,1.33927272E8,150.37457
185,1702727351466,1.33927616E8,150.16608
186,1702727351467,1.3392796E8,148.9787
187,1702727351467,1.33928304E8,148.397
188,1702727351467,1.33928656E8,148.0199
189,1702727351469,1.33929E8,148.31995
190,1702727351469,1.33929344E8,149.07683
191,1702727351469,1.33929688E8,146.43033
192,1702727351469,1.33930032E8,147.6243
193,1702727351469,1.33930384E8,148.3654
194,1702727351469,1.33930728E8,148.28569
195,1702727351470,1.33931072E8,148.5933
196,1702727351470,1.33931416E8,149.08147
197,1702727351470,1.3393176E8,147.85388
198,1702727351472,1.33932104E8,147.70041
199,1702727351472,1.33932448E8,147.61047
200,1702727351472,1.339328E8,147.75769
201,1702727351472,1.33933144E8,147.98201
202,1702727351472,1.33933488E8,147.28537
203,1702727351472,1.33933832E8,148.93227
204,1702727351474,1.33934176E8,149.87721
205,1702727351474,1.3393452E8,149.08147
206,1702727351474,1.33934872E8,149.82715
207,1702727351474,1.33935216E8,149.46318
208,1702727351474,1.3393556E8,148.68587
209,1702727351476,1.33935904E8,150.54059
210,1702727351476,1.33936248E8,151.18878
211,1702727351476,1.33936592E8,150.8627
212,1702727351476,1.33936944E8,152.20688
213,1702727351476,1.33937288E8,151.4065
214,1702727351477,1.33937632E8,153.0629
215,1702727351477,1.33937976E8,153.48811
216,1702727351477,1.3393832E8,151.67723
217,1702727351479,1.33938664E8,152.1746
218,1702727351479,1.33939008E8,152.86
219,1702727351479,1.3393936E8,153.39261
220,1702727351479,1.33939704E8,152.03857
221,1702727351479,1.33940048E8,152.58698
222,1702727351480,1.33940392E8,151.51881
223,1702727351480,1.33940736E8,153.25856
224,1702727351480,1.33941088E8,153.71342
225,1702727351481,1.33941432E8,152.61005
226,1702727351481,1.33941776E8,154.94724
227,1702727351481,1.3394212E8,153.39362
228,1702727351481,1.33942464E8,153.30368
229,1702727351481,1.33942808E8,153.32509
230,1702727351482,1.33943152E8,153.82542
231,1702727351482,1.33943504E8,154.63962
232,1702727351483,1.33943848E8,151.97995
233,1702727351483,1.33944192E8,152.0346
234,1702727351483,1.33944536E8,152.02274
235,1702727351486,1.3394488E8,152.45422
236,1702727351486,1.33945224E8,150.73128
237,1702727351486,1.33945576E8,152.61005
238,1702727351486,1.3394592E8,151.40582
239,1702727351486,1.33946264E8,151.5465
240,1702727351486,1.33946608E8,149.30113
241,1702727351486,1.33946952E8,149.42236
242,1702727351486,1.33947296E8,150.34395
243,1702727351488,1.33947648E8,149.46681
244,1702727351488,1.33947992E8,149.64107
245,1702727351488,1.33948336E8,150.12361
246,1702727351488,1.3394868E8,149.88646
247,1702727351488,1.33949024E8,148.60979
248,1702727351488,1.33949368E8,149.46022
249,1702727351489,1.33949712E8,148.6424
250,1702727351489,1.33950064E8,147.8641
251,1702727351491,1.33950408E8,148.29591
252,1702727351491,1.33950752E8,148.36739
253,1702727351491,1.33951096E8,147.64177
254,1702727351491,1.3395144E8,148.99352
255,1702727351491,1.33951792E8,148.6895
256,1702727351491,1.33952136E8,148.60814
257,1702727351492,1.3395248E8,149.07948
258,1702727351492,1.33952824E8,149.34164
259,1702727351492,1.33953168E8,148.94244
260,1702727351494,1.33953512E8,147.80415
261,1702727351494,1.33953856E8,148.4283
262,1702727351494,1.33954208E8,148.10783
263,1702727351494,1.33954552E8,148.78699
264,1702727351494,1.33954896E8,149.40556
265,1702727351494,1.3395524E8,149.00835
266,1702727351496,1.33955584E8,150.8973
267,1702727351496,1.33955928E8,149.34164
268,1702727351496,1.33956272E8,148.52647
269,1702727351496,1.33956624E8,151.1565
270,1702727351496,1.33956968E8,152.41536
271,1702727351496,1.33957312E8,150.62192
272,1702727351497,1.33957656E8,151.1611
273,1702727351497,1.33958E8,152.23848
274,1702727351497,1.33958352E8,152.5043
275,1702727351499,1.33958696E8,152.92851
276,1702727351499,1.3395904E8,152.29218
277,1702727351499,1.33959384E8,152.81192
278,1702727351499,1.33959728E8,151.97171
279,1702727351499,1.33960072E8,152.13574
280,1702727351501,1.33960416E8,151.15848
281,1702727351501,1.33960768E8,152.44797
282,1702727351501,1.33961112E8,154.08463
283,1702727351501,1.33961456E8,153.65117
284,1702727351501,1.339618E8,153.59485
285,1702727351501,1.33962144E8,153.57607
286,1702727351502,1.33962488E8,152.99078
287,1702727351502,1.33962832E8,152.22368
288,1702727351502,1.33963184E8,152.49606
289,1702727351504,1.33963528E8,153.24834
290,1702727351504,1.33963872E8,151.94864
291,1702727351504,1.33964216E8,152.81653
292,1702727351504,1.3396456E8,151.06956
293,1702727351504,1.33964912E8,150.11073
294,1702727351504,1.33965256E8,151.39462
295,1702727351505,1.339656E8,150.18288
296,1702727351505,1.33965944E8,152.87483
297,1702727351505,1.33966288E8,150.30704
298,1702727351506,1.33966632E8,150.50435
299,1702727351506,1.33966976E8,149.1954
300,1702727351506,1.33967328E8,149.68356
301,1702727351507,1.33967672E8,149.29654
302,1702727351507,1.33968016E8,150.22931
303,1702727351507,1.3396836E8,150.6878
304,1702727351508,1.33968704E8,149.35089
305,1702727351508,1.33969048E8,148.86572
306,1702727351508,1.339694E8,149.46947
307,1702727351509,1.33969744E8,148.24121
308,1702727351509,1.33970088E8,149.49449
309,1702727351509,1.33970432E8,149.27151
310,1702727351511,1.33970776E8,148.44609
311,1702727351511,1.3397112E8,149.19806
312,1702727351511,1.33971472E8,147.35553
313,1702727351511,1.33971816E8,146.6823
314,1702727351511,1.3397216E8,148.30807
315,1702727351511,1.33972504E8,148.14043
316,1702727351512,1.33972848E8,148.33838
317,1702727351512,1.33973192E8,147.68723
318,1702727351512,1.33973536E8,149.51129
319,1702727351514,1.33973888E8,149.02972
320,1702727351514,1.33974232E8,148.57852
321,1702727351514,1.33974576E8,149.97736
322,1702727351514,1.3397492E8,150.25337
323,1702727351514,1.33975264E8,148.97507
324,1702727351516,1.33975608E8,148.20894
325,1702727351516,1.3397596E8,149.19278
