Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),time (),reading ()
219,1702662653308,5169664.0,132.70448
220,1702662653308,5170009.0,134.58647
221,1702662653308,5170355.0,132.6656
222,1702662653308,5170700.0,132.64098
223,1702662653309,5171045.0,133.15454
224,1702662653309,5171391.0,131.41663
225,1702662653310,5171736.0,135.53062
226,1702662653310,5172081.0,133.3899
227,1702662653310,5172427.0,134.08205
228,1702662653311,5172772.0,132.60844
229,1702662653311,5173117.0,132.82634
230,1702662653311,5173462.0,132.01353
231,1702662653313,5173808.0,132.77592
232,1702662653313,5174153.0,133.63675
233,1702662653313,5174498.0,132.93904
234,1702662653313,5174844.0,132.84062
235,1702662653313,5175189.0,132.47906
236,1702662653313,5175534.0,132.57393
237,1702662653314,5175880.0,133.99593
238,1702662653314,5176225.0,132.37627
239,1702662653314,5176570.0,131.70992
240,1702662653315,5176915.0,132.69774
241,1702662653315,5177261.0,129.464
242,1702662653315,5177606.0,129.77675
243,1702662653317,5177951.0,131.3571
244,1702662653317,5178297.0,130.30579
245,1702662653317,5178642.0,132.29729
246,1702662653317,5178987.0,131.58054
247,1702662653317,5179333.0,131.86867
248,1702662653317,5179678.0,131.24557
249,1702662653319,5180023.0,128.88695
250,1702662653319,5180369.0,131.67302
251,1702662653319,5180714.0,133.36528
252,1702662653320,5181059.0,131.13406
253,1702662653320,5181404.0,132.69456
254,1702662653320,5181750.0,130.42761
255,1702662653321,5182095.0,131.45671
256,1702662653321,5182440.0,130.54033
257,1702662653322,5182786.0,131.96431
258,1702662653322,5183131.0,132.7033
259,1702662653322,5183476.0,131.50235
260,1702662653322,5183822.0,132.13298
261,1702662653322,5184167.0,132.30046
262,1702662653324,5184512.0,131.09833
263,1702662653324,5184858.0,131.09595
264,1702662653324,5185203.0,131.67778
265,1702662653324,5185548.0,131.41306
266,1702662653324,5185894.0,131.21661
267,1702662653324,5186239.0,130.98126
268,1702662653325,5186584.0,131.9175
269,1702662653325,5186929.0,131.93456
270,1702662653325,5187275.0,132.05043
271,1702662653327,5187620.0,134.03403
272,1702662653327,5187965.0,133.15097
273,1702662653327,5188311.0,130.33276
274,1702662653327,5188656.0,132.95332
275,1702662653327,5189001.0,131.84407
276,1702662653328,5189347.0,131.53014
277,1702662653328,5189692.0,132.85292
278,1702662653328,5190037.0,132.10957
279,1702662653329,5190382.0,131.51784
280,1702662653329,5190728.0,132.29808
281,1702662653329,5191073.0,132.46437
282,1702662653331,5191418.0,133.78836
283,1702662653331,5191764.0,133.27956
284,1702662653331,5192109.0,131.65515
285,1702662653331,5192454.0,131.67104
286,1702662653331,5192800.0,132.93904
287,1702662653333,5193145.0,132.01472
288,1702662653333,5193490.0,132.3731
289,1702662653333,5193836.0,131.76231
290,1702662653333,5194181.0,131.7512
291,1702662653333,5194526.0,133.52403
292,1702662653333,5194872.0,132.98706
293,1702662653334,5195217.0,133.3395
294,1702662653334,5195562.0,131.19557
295,1702662653334,5195908.0,131.28487
296,1702662653336,5196253.0,132.68663
297,1702662653336,5196598.0,131.13089
298,1702662653336,5196944.0,133.911
299,1702662653336,5197289.0,132.15523
300,1702662653336,5197634.0,131.92424
301,1702662653337,5197980.0,132.71242
302,1702662653337,5198325.0,132.22902
303,1702662653337,5198670.0,133.74707
304,1702662653338,5199016.0,132.03694
305,1702662653338,5199361.0,130.2645
306,1702662653338,5199706.0,129.81245
307,1702662653340,5200052.0,130.77011
308,1702662653340,5200397.0,132.70448
309,1702662653340,5200742.0,133.12874
310,1702662653340,5201087.0,130.98206
311,1702662653340,5201433.0,131.35155
312,1702662653340,5201778.0,129.90414
313,1702662653342,5202123.0,130.405
314,1702662653342,5202469.0,131.45988
315,1702662653342,5202814.0,131.28923
316,1702662653342,5203159.0,131.29161
317,1702662653342,5203504.0,131.0773
318,1702662653342,5203850.0,132.31038
319,1702662653343,5204195.0,131.38846
320,1702662653343,5204541.0,133.23233
321,1702662653343,5204886.0,131.01022
322,1702662653345,5205231.0,130.78122
323,1702662653345,5205576.0,133.324
324,1702662653345,5205922.0,131.68214
325,1702662653345,5206267.0,130.45421
326,1702662653345,5206612.0,132.73703
327,1702662653345,5206958.0,131.46783
328,1702662653347,5207303.0,133.93004
329,1702662653347,5207648.0,132.31276
330,1702662653347,5207994.0,133.57285
331,1702662653347,5208339.0,133.68913
332,1702662653347,5208684.0,132.73465
333,1702662653348,5209029.0,131.96114
334,1702662653348,5209375.0,131.96352
335,1702662653348,5209720.0,131.97026
336,1702662653349,5210065.0,132.54176
337,1702662653349,5210411.0,132.26158
338,1702662653349,5210756.0,131.37614
339,1702662653351,5211101.0,131.89407
340,1702662653351,5211447.0,132.62431
341,1702662653351,5211792.0,132.51598
342,1702662653351,5212137.0,132.73148
343,1702662653351,5212482.0,134.24397
344,1702662653351,5212828.0,132.84181
345,1702662653352,5213173.0,132.75133
346,1702662653352,5213518.0,131.40512
347,1702662653352,5213864.0,133.8574
348,1702662653354,5214209.0,131.89407
349,1702662653354,5214554.0,129.90414
350,1702662653354,5214900.0,132.59297
351,1702662653354,5215245.0,131.71547
