Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),time (),reading ()
232,1702665121068,5.3787981E8,133.56125
233,1702665121068,5.3788013E8,131.68051
234,1702665121068,5.3788045E8,132.32806
235,1702665121069,5.3788083E8,134.7747
236,1702665121069,5.3788115E8,133.9114
237,1702665121069,5.3788154E8,133.62682
238,1702665121070,5.3788186E8,133.61134
239,1702665121070,5.3788218E8,134.78851
240,1702665121070,5.3788256E8,134.7378
241,1702665121072,5.3788288E8,134.91731
242,1702665121072,5.3788326E8,134.85078
243,1702665121072,5.3788358E8,134.44398
244,1702665121072,5.378839E8,134.22528
245,1702665121072,5.3788429E8,135.54742
246,1702665121072,5.3788461E8,136.09386
247,1702665121074,5.3788499E8,135.14722
248,1702665121074,5.3788531E8,135.5833
249,1702665121074,5.3788563E8,135.0988
250,1702665121074,5.3788602E8,134.29675
251,1702665121075,5.3788634E8,134.44762
252,1702665121075,5.3788672E8,133.38602
253,1702665121075,5.3788704E8,133.13602
254,1702665121076,5.3788736E8,131.59914
255,1702665121076,5.3788774E8,133.12022
256,1702665121076,5.3788806E8,134.25493
257,1702665121078,5.3788845E8,132.46346
258,1702665121078,5.3788877E8,132.7421
259,1702665121078,5.3788909E8,132.4651
260,1702665121078,5.3788947E8,133.27504
261,1702665121078,5.3788979E8,133.82806
262,1702665121080,5.3789018E8,131.46675
263,1702665121080,5.378905E8,130.65152
264,1702665121080,5.3789082E8,131.06555
265,1702665121080,5.378912E8,131.15613
266,1702665121080,5.3789152E8,130.61891
267,1702665121080,5.378919E8,130.69304
268,1702665121081,5.3789222E8,131.25726
269,1702665121081,5.3789254E8,130.94139
270,1702665121081,5.3789293E8,129.79085
271,1702665121083,5.3789325E8,129.53429
272,1702665121083,5.3789363E8,130.99045
273,1702665121083,5.3789395E8,129.26912
274,1702665121083,5.3789427E8,129.83334
275,1702665121083,5.3789466E8,130.67722
276,1702665121083,5.3789498E8,128.76714
277,1702665121083,5.378953E8,131.0201
278,1702665121084,5.3789568E8,131.45357
279,1702665121084,5.37896E8,129.56293
280,1702665121084,5.3789638E8,128.47333
281,1702665121086,5.378967E8,131.88998
282,1702665121086,5.3789702E8,131.23123
283,1702665121086,5.3789741E8,132.4496
284,1702665121086,5.3789773E8,131.4898
285,1702665121086,5.3789811E8,131.42853
286,1702665121086,5.3789843E8,132.08072
287,1702665121087,5.3789875E8,131.95192
288,1702665121087,5.3789914E8,132.0122
289,1702665121087,5.3789946E8,132.03526
290,1702665121089,5.3789984E8,131.98914
291,1702665121089,5.3790016E8,132.5672
292,1702665121089,5.3790048E8,132.6571
293,1702665121089,5.3790086E8,134.80994
294,1702665121089,5.3790118E8,134.35243
295,1702665121089,5.3790157E8,134.88107
296,1702665121090,5.3790189E8,134.04578
297,1702665121090,5.3790221E8,134.13538
298,1702665121090,5.3790259E8,133.19136
299,1702665121092,5.3790291E8,134.35143
300,1702665121092,5.379033E8,132.10869
301,1702665121092,5.3790362E8,133.61296
302,1702665121092,5.3790394E8,134.86266
303,1702665121092,5.3790432E8,133.56589
304,1702665121092,5.3790464E8,136.11066
305,1702665121094,5.3790502E8,135.49635
306,1702665121094,5.3790534E8,133.63077
307,1702665121094,5.3790566E8,133.20454
308,1702665121094,5.3790605E8,134.13074
309,1702665121094,5.3790637E8,134.71277
310,1702665121094,5.3790675E8,132.77635
311,1702665121096,5.3790707E8,134.83134
312,1702665121096,5.3790739E8,134.17982
313,1702665121096,5.3790778E8,132.02242
314,1702665121096,5.379081E8,131.0794
315,1702665121096,5.3790848E8,131.34883
316,1702665121098,5.379088E8,132.13441
317,1702665121098,5.3790912E8,130.23453
318,1702665121098,5.379095E8,131.18315
319,1702665121098,5.3790982E8,130.40582
320,1702665121098,5.3791014E8,131.47136
321,1702665121098,5.3791053E8,133.53227
322,1702665121100,5.3791085E8,132.19664
323,1702665121100,5.3791123E8,130.23453
324,1702665121100,5.3791155E8,130.60707
325,1702665121100,5.3791187E8,129.54909
326,1702665121100,5.3791226E8,129.15976
327,1702665121100,5.3791258E8,129.14594
