Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),time (),reading ()
323,1702661974752,4.63177568E8,123.79745
324,1702661974752,4.63177888E8,125.70933
325,1702661974753,4.6317824E8,124.34683
326,1702661974753,4.63178592E8,123.64625
327,1702661974753,4.63178944E8,122.66512
328,1702661974754,4.63179264E8,120.88822
329,1702661974754,4.63179616E8,123.4256
330,1702661974754,4.63179968E8,121.18895
331,1702661974755,4.6318032E8,119.79226
332,1702661974755,4.63180672E8,118.57927
333,1702661974757,4.63180992E8,126.23571
334,1702661974757,4.63181344E8,124.50139
335,1702661974757,4.63181696E8,120.06612
336,1702661974757,4.63182048E8,125.28428
337,1702661974757,4.631824E8,124.644745
338,1702661974757,4.6318272E8,120.85686
339,1702661974759,4.63183072E8,121.500854
340,1702661974759,4.63183424E8,121.08196
341,1702661974759,4.63183776E8,123.89658
342,1702661974759,4.63184128E8,124.85251
343,1702661974759,4.63184448E8,120.68214
344,1702661974759,4.631848E8,122.82527
345,1702661974760,4.63185152E8,122.95015
346,1702661974760,4.63185504E8,123.253685
347,1702661974760,4.63185856E8,123.210014
348,1702661974761,4.63186176E8,123.507385
349,1702661974761,4.63186528E8,121.694626
350,1702661974761,4.6318688E8,125.29212
351,1702661974761,4.63187232E8,126.04981
352,1702661974762,4.63187584E8,123.25088
353,1702661974762,4.63187904E8,122.84433
354,1702661974762,4.63188256E8,126.01509
355,1702661974764,4.63188608E8,123.305756
356,1702661974764,4.6318896E8,123.6905
357,1702661974764,4.6318928E8,121.68342
358,1702661974764,4.63189632E8,125.76308
359,1702661974764,4.63189984E8,126.81028
360,1702661974764,4.63190336E8,123.76721
361,1702661974765,4.63190688E8,125.85885
362,1702661974765,4.63191008E8,124.78028
363,1702661974765,4.6319136E8,125.68746
364,1702661974766,4.63191712E8,126.39925
365,1702661974766,4.63192064E8,126.22621
366,1702661974766,4.63192416E8,125.145386
367,1702661974768,4.63192736E8,126.089
368,1702661974768,4.63193088E8,127.6671
369,1702661974768,4.6319344E8,124.68732
370,1702661974768,4.63193792E8,125.17843
371,1702661974768,4.63194144E8,126.39476
372,1702661974768,4.63194464E8,123.25873
373,1702661974769,4.63194816E8,127.01356
